"book_id","title","publisher_id","category_id","language_id"
197,"India's Legal System",NULL,3,46
198,"Justice, Judiciary and Democracy",NULL,3,46
195,"Murphy's Law",NULL,6,46
196,"Political Philosophers",NULL,6,46
193,"Free Will",18,6,46
194,"How to Think Like Sherlock Holmes",4,6,46
64,"History of England, Foundation",NULL,8,46
68,"Mossad",NULL,8,46
74,"Jim Corbett Omnibus",NULL,8,46
76,"City of Djinns",NULL,8,46
80,"Christmas Carol, A",NULL,8,46
81,"Ropemaker, The",NULL,8,46
82,"Idiot, The",NULL,8,46
87,"Rosy is My Relative",NULL,8,46
90,"Age of the Warrior, The",NULL,8,46
93,"Deceiver, The",NULL,8,46
94,"Phantom of Manhattan, The",NULL,8,46
96,"From Beirut to Jerusalem",NULL,8,46
97,"Case of the Lame Canary, The",NULL,8,46
100,"Doctor on the Brain",NULL,8,46
108,"Eyeless in Gaza",NULL,8,46
109,"Talking Straight",NULL,8,46
112,"Arthashastra, The",NULL,8,46
116,"Girl who played with Fire",NULL,8,46
117,"Girl who kicked the Hornet's Nest",NULL,8,46
118,"Girl with the Dragon Tattoo",NULL,8,46
119,"Prince, The",NULL,8,46
120,"Trembling of a Leaf, The",NULL,8,46
121,"Moon and Sixpence, The",NULL,8,46
125,"Half A Life",NULL,8,46
128,"Discovery of India, The",NULL,8,46
129,"Animal Farm",NULL,8,46
131,"We the People",NULL,8,46
132,"We the Nation",NULL,8,46
136,"Philosophy: Who Needs It",NULL,8,46
137,"Ayn Rand Answers",NULL,8,46
140,"Tales of Beedle the Bard",NULL,8,46
141,"Unpopular Essays",NULL,8,46
143,"Empire of the Mughal - Raiders from the North",NULL,8,46
144,"Empire of the Mughal - The Serpent's Tooth",NULL,8,46
145,"Empire of the Mughal - Ruler of the World",NULL,8,46
146,"Empire of the Mughal - Brothers at War",NULL,8,46
147,"Empire of the Mughal - The Tainted Throne",NULL,8,46
149,"More Tears to Cry",NULL,8,46
152,"Courtroom Genius, The",NULL,8,46
153,"Grapes of Wrath, The",NULL,8,46
154,"Life in Letters, A",NULL,8,46
164,"20000 Leagues Under the Sea",NULL,8,46
166,"Short History of the World, A",NULL,8,46
168,"Devil's Advocate, The",NULL,8,46
169,"Veil: Secret Wars of the CIA",NULL,8,46
171,"Dongri to Dubai",NULL,8,46
172,"Batman Handbook",NULL,8,46
173,"Attorney, The",NULL,8,46
174,"Judge, The",NULL,8,46
175,"Batman: The Long Halloween",NULL,8,46
176,"History of the DC Universe",NULL,8,46
177,"Death of Superman, The",NULL,8,46
178,"Justice League: The Villain's Journey",NULL,8,46
179,"Justice League: Throne of Atlantis",NULL,8,46
180,"Superman Earth One - 2",NULL,8,46
181,"Superman Earth One - 1",NULL,8,46
182,"Crisis on Infinite Earths",NULL,8,46
183,"Batman Earth One",NULL,8,46
184,"Flashpoint",NULL,8,46
185,"Killing Joke, The",NULL,8,46
186,"Final Crisis",NULL,8,46
187,"Karl Marx Biography",NULL,8,46
190,"World's Greatest Trials, The",NULL,8,46
200,"Urlasurla",NULL,8,167
201,"Hafasavnuk",NULL,8,167
202,"Batatyachi Chal",NULL,8,167
203,"Vyakti ani Valli",NULL,8,167
204,"Char Shabda",NULL,8,167
205,"Apulki",NULL,8,167
142,"History of Western Philosophy",33,8,46
95,"Veteran, The",31,8,46
107,"Clash of Civilizations and Remaking of the World Order",30,8,46
188,"Selected Short Stories",29,8,46
189,"World's Greatest Short Stories, The",29,8,46
122,"Ashenden of The British Agent",28,8,46
123,"Maugham's Collected Short Stories, Vol 3",28,8,46
134,"Zen & The Art of Motorcycle Maintenance",28,8,46
105,"Farewell to Arms, A",27,8,46
126,"In a Free State",27,8,46
199,"Mein Kampf",27,8,68
