"city_id","city","country_id"
1,"Prado",10
2,"Mahavanona",159
3,"Ibiracu",10
4,"Kibiito",120
5,"Noya",119
6,"Rho",60
7,"Buttayagudem",219
8,"Salempur",219
9,"Seneca",110
10,"Dunleary",161
11,"Ochtrup",163
12,"Cukurca",21
13,"Nilgiri",219
14,"San Isidro",186
15,"Barrhead",230
16,"Dilasag",52
17,"Timurni",219
18,"Trilj",84
19,"Comala",105
20,"Pyrgos",146
21,"Chosica",142
22,"Tshabong",7
23,"San Sebastian de los Reyes",119
24,"Kiyosu",98
25,"Nong Kung Si",235
26,"Oporapa",59
27,"Turkoglu",21
28,"Asuncion Mita",231
29,"Chornomorsk",134
30,"Neftcala",22
31,"Babahoyo",31
32,"Levin",53
33,"Veresegyhaz",152
34,"Bhilwara",219
35,"Shalaurova",109
36,"Ar Rusayfah",74
37,"Sao Lourenco d'Oeste",10
38,"Karian",219
39,"Shirdi",219
40,"Sesimbra",177
41,"Kadanadu",219
42,"San Clemente",52
43,"Le Haillan",70
44,"Paredes",177
45,"Barberton",110
46,"Lovendegem",62
47,"Malangas",52
48,"Hillsboro",110
49,"Laguna Hills",110
50,"Cepin",84
51,"Manfalut",40
52,"Arandelovac",111
53,"Lordegan",117
54,"San Juan del Puerto",119
55,"Guang'an",14
56,"Antonio Dias",10
57,"Laukaa",151
58,"Dharmasagaram",219
59,"Tsing Yi Town",153
60,"Cugnaux",70
61,"Ra's al `Ayn",96
62,"Xinbu",240
63,"Hassi Messaoud",36
64,"Kumar Khad",219
65,"Kisoro",120
66,"Altay",14
67,"Pindare-Mirim",10
68,"Grain Valley",110
69,"Shenzhen",14
70,"Khem Karan",219
71,"Chettikulam",219
72,"Sasagawa",98
73,"Pitogo",52
74,"Babati",5
75,"Wik'ro",64
76,"Santurce-Antiguo",119
77,"Ulstein",13
78,"Chewara",219
79,"Gigaquit",52
80,"Pokhraira",219
81,"Sidi Lmokhtar",204
82,"Ascension",229
83,"Alwar",219
84,"La'tamna",204
85,"Bellflower",110
86,"Wangsicun",14
87,"Moncton",38
88,"Eccles",230
89,"Nohar",219
90,"Ouro Preto",10
91,"Cerro Azul",105
92,"Usmate Velate",60
93,"Small Heath",230
94,"Vevey",232
95,"Perchtoldsdorf",54
96,"Bradford West Gwillimbury",38
97,"Llantrisant",230
98,"Patsanda",219
99,"Tepetlan",105
100,"Zestaponi",49
101,"Ksar El Kebir",204
102,"Al Musayfirah",96
103,"Bawgalegyi",34
104,"Dikhil",50
105,"Zouerate",189
106,"Wolgast",163
107,"Snovsk",134
108,"Pesca",59
109,"Irosin",52
110,"Kurate",98
111,"Galela",206
112,"Dancagan",52
113,"Bachhauta",219
114,"Knysna",83
115,"Andorra la Vella",9
116,"Hamden",110
117,"Bolgatanga",94
118,"Sabbashahr",117
119,"Chandanais",4
120,"Pionki",101
121,"Solanea",10
122,"Vina del Mar",72
123,"Carcagente",119
124,"Marmagao",219
125,"Vallauris",70
126,"Qalyub",40
127,"Teutschenthal",163
128,"Sainte-Marthe-sur-le-Lac",38
129,"Boituva",10
130,"Ruvo di Puglia",60
131,"Weimar",163
132,"Oadby",230
133,"Bouznika",204
134,"Ottobrunn",163
135,"Sunland Park",110
136,"Igbaras",52
137,"Le Perreux-Sur-Marne",70
138,"Chandi",219
139,"Gouda",16
140,"Nizhniy Odes",109
141,"Penarroya-Pueblonuevo",119
142,"Mangamila",159
143,"Haciqabul",22
144,"Lehara",219
145,"Anuppur",219
146,"Maria Aurora",52
147,"Uglegorsk",109
148,"Phayao",235
149,"Mont-Laurier",38
150,"Baganga",52
151,"Hohenhameln",163
152,"Juan Rodriguez Clara",105
153,"Ochsenhausen",163
154,"Mulki",219
155,"Corrientes",121
156,"Banga",217
157,"Ilicinia",10
158,"Andranovao",159
159,"Solano",52
160,"Capela",10
161,"Mittegrossefehn",163
162,"North Kensington",110
163,"Mainit",52
164,"Wadgassen",163
165,"Ariyalur",219
166,"Mitrovice",171
167,"Made",16
168,"Jask",117
169,"San Giovanni Valdarno",60
170,"Kortrijk",62
171,"Teopisca",105
172,"Nelson",38
173,"Noamundi",219
174,"Jimalalud",52
175,"Murnau am Staffelsee",163
176,"Kanchanaburi",235
177,"Vadakadu",219
178,"Ambolomadinika",159
179,"Ozd",152
180,"Atlapexco",105
181,"Afmadow",208
182,"Patarra",186
183,"Glen Parva",230
184,"Srimushnam",219
185,"Wurselen",163
186,"Valle",31
187,"Aydarken",115
188,"Iraci",10
189,"Daganzo de Arriba",119
190,"Eschenbach",232
191,"Kombai",219
192,"Doncaster",230
193,"Okotoks",38
194,"Mussoorie",219
195,"Curanilahue",72
196,"Zebbug",113
197,"Castelletto sopra Ticino",60
198,"Wanze",62
199,"Orange Lake",110
200,"Nantwich",230
201,"Galloway",110
202,"Giresun",21
203,"Munakata",98
204,"Hamamatsu",98
205,"Ardrossan",230
206,"Pagbilao",52
207,"Plant City",110
208,"Po",89
209,"Morro Bay",110
210,"Rendsburg",163
211,"Majhaul",219
212,"Zamora",119
213,"Windsor",110
214,"Belen",133
215,"Mindelo",2
216,"Yangambi",71
217,"Nij Khari",219
218,"Kediri",206
219,"Havre",110
220,"Elias Fausto",10
221,"Chinnampalaiyam",219
222,"Billericay",230
223,"Tongshan",14
224,"Qal`at Bishah",1
225,"Xintai",14
226,"Ebino",98
227,"Trincomalee",23
228,"Vadamugam Vellodu",219
229,"Americo Brasiliense",10
230,"Berber",61
231,"Peebles",230
232,"Newcastle",110
233,"Clearview",38
234,"El Alia",168
235,"Phitsanulok",235
236,"Strasbourg",70
237,"Dosso",222
238,"Bonifacio",52
239,"Kigali",123
240,"Dubendorf",232
241,"Kod",219
242,"Hawaiian Paradise Park",110
243,"Meudon",70
244,"Quickborn",163
245,"Sultepec",105
246,"Montevideo",63
247,"Barajor",219
248,"Racconigi",60
249,"Rybinsk",109
250,"Zaporizhzhia",134
251,"South Londonderry",110
252,"Whitchurch",230
253,"Oak Harbor",110
254,"Paderborn",163
255,"Lautaro",72
256,"Ambilobe",159
257,"Miches",33
258,"Araras",10
259,"Auhar Sheikh",219
260,"Skoura",204
261,"Chard",230
262,"Shasta Lake",110
263,"Impasugong",52
264,"Toyoake",98
265,"Belvadi",219
266,"Corinto",10
267,"Mingjiujie",14
268,"Uropa",10
269,"Karera",219
270,"Viterbo",60
271,"Kanan",98
272,"Zhaodong",14
273,"Rainbow City",110
274,"Sacele",79
275,"Cherkessk",109
276,"Poro",52
277,"Trou du Nord",178
278,"Minabe",98
279,"Lescar",70
280,"Schwieberdingen",163
281,"Togoch'ale",64
282,"Majanji",120
283,"Minami-Soma",98
284,"Gangawati",219
285,"Bilzen",62
286,"Araputanga",10
287,"Port-de-Paix",178
288,"Franconia",110
289,"Sredisce ob Dravi",201
290,"Parana",121
291,"Miho",98
292,"Clifton",230
293,"Hanover",110
294,"Morley",230
295,"Bragadiru",79
296,"Madukkarai",219
297,"Poonamallee",219
298,"Henstedt-Ulzburg",163
299,"Meshgin Shahr",117
300,"Idylwood",110
301,"Middelkerke",62
302,"Tsuruno",98
303,"Fujioka",98
304,"Krasnoslobodsk",109
305,"Leon Valley",110
306,"Pitsea",230
307,"Sirugudi",219
308,"Zuzemberk",201
309,"Befeta",159
310,"Genoa",60
311,"Silappadi",219
312,"Thakraha",219
313,"Ndali",233
314,"Siechnice",101
315,"Avola",60
316,"Lang Son",39
317,"Tomblaine",70
318,"Janakpur",182
319,"Xaxim",10
320,"Gornji Grad",201
321,"Narsingi",219
322,"Apt",70
323,"Steinheim am der Murr",163
324,"Dabeiba",59
325,"Matabhanga",219
326,"Joaquim Nabuco",10
327,"Manapla",52
328,"Bourgoin-Jallieu",70
329,"Sariosiyo",210
330,"Pedappai",219
331,"Papenburg",163
332,"Okpo",34
333,"Pilis",152
334,"Sahpur",219
335,"Eisenstadt",54
336,"Chau Doc",39
337,"Ban Khlong",235
338,"McLean",110
339,"Sutculer",21
340,"Marokarima",159
341,"Lons",70
